,Диаметр экспл.колонны,Буферное давление,Давление в линии,Динамическая высота,Затрубное давление,Обводненность,Глубина спуска,Давление на приеме
1161,146.8,14.1,13.1,2984.0,15.2,54.0,3003.86,19.0
1162,146.8,21.2,20.2,2638.0,23.7,44.0,2710.63,30.0
1163,146.8,23.0,22.0,2335.0,24.0,58.0,2338.34,29.0
1164,146.8,10.0,9.0,1650.0,10.0,25.0,2420.0,75.0
1165,157.2,6.0,5.5,1750.0,6.5,66.2,2365.0,40.0
1166,146.8,9.5,8.5,2152.0,10.8,18.0,2286.0,15.0
1167,146.8,20.0,19.4,2665.0,20.5,64.0,2668.29,23.0
1168,150.2,23.8,22.8,2625.0,24.0,18.0,2725.0,31.0
1169,146.8,16.2,15.2,2536.0,16.7,64.0,2587.73,23.0
1170,146.8,9.0,8.0,3112.0,10.0,70.0,3119.11,11.0
1171,159.6,24.1,23.4,2487.0,24.5,48.0,2900.0,57.0
1172,146.8,20.6,19.6,2239.0,21.1,45.0,2316.0,24.0
1173,147.2,7.0,6.0,2130.0,7.4,52.0,2520.84,32.0
1174,146.8,17.0,16.0,2427.0,17.8,40.0,2710.63,38.0
1175,159.6,9.3,8.3,2176.0,9.7,59.0,2625.0,45.0
1176,146.8,15.8,14.8,2531.0,16.2,88.0,2618.28,19.0
1177,159.6,24.0,21.0,2528.0,25.0,39.0,2535.0,31.0
1178,146.8,18.4,17.4,2614.0,18.9,86.0,2665.61,29.0
1179,146.8,11.0,10.0,2546.0,11.5,64.0,2562.24,16.0
1180,159.6,20.1,19.1,2591.0,20.6,54.0,2622.0,24.0
1181,146.8,16.6,15.6,3051.0,17.1,26.0,3099.23,23.0
1182,146.8,15.9,14.9,2200.0,15.8,92.0,2260.21,23.0
1183,146.8,16.0,15.0,2315.0,16.0,49.0,2320.0,20.0
1184,146.8,18.5,17.5,2603.0,19.6,54.0,2782.0,29.0
1185,146.8,18.5,17.5,2125.0,18.4,89.0,2245.0,20.0
1186,146.8,19.0,18.0,2829.0,19.0,32.0,2851.0,22.0
1187,146.8,12.0,10.6,2995.0,12.0,62.0,3014.0,14.0
1188,146.8,20.7,19.7,2986.0,21.0,64.0,3071.1,21.0
1189,146.8,15.7,14.7,2748.0,16.0,30.0,2820.61,23.0
1190,159.6,16.0,15.0,3144.0,15.8,36.0,3176.0,16.0
1191,146.8,21.2,20.2,2386.0,21.0,10.0,2387.49,22.0
1192,159.6,17.2,16.2,2630.0,17.6,46.0,2662.0,22.0
1193,146.8,19.5,18.5,2757.0,20.1,33.0,2947.0,31.0
1194,146.8,14.1,13.0,2925.0,14.6,52.0,2980.75,19.0
1195,149.0,8.8,7.8,2334.0,9.0,36.0,2349.1,13.0
1196,146.8,6.5,5.7,2431.0,8.3,46.0,2507.11,14.0
1197,146.8,18.0,17.4,2265.0,18.8,86.0,2290.26,21.0
1198,146.8,24.0,23.0,2531.0,26.2,14.0,2600.0,34.0
1199,146.8,10.0,10.0,2515.0,10.9,50.0,2656.0,16.0
1200,146.8,20.2,19.2,2775.0,21.4,60.0,2782.0,22.0
1201,159.6,17.0,16.0,2812.0,18.0,52.0,2825.8,18.0
1202,146.8,17.0,16.0,2021.0,18.3,24.0,2302.04,44.0
1203,159.6,32.0,19.0,2891.0,20.2,66.0,2900.0,22.0
1204,159.6,34.0,19.6,2898.0,20.8,66.0,2900.0,22.0
1205,146.8,27.4,26.4,2756.0,27.2,75.0,2875.29,48.0
1206,146.8,15.0,14.0,2804.0,15.6,57.0,2832.87,18.0
1207,146.8,7.5,7.0,2756.0,8.0,87.0,2861.87,15.0
1208,146.8,16.5,15.5,2782.0,16.9,76.0,3049.43,37.0
1209,146.8,21.0,19.0,2540.0,22.1,52.0,2560.05,27.0
1210,146.8,8.0,7.3,3046.0,9.0,33.0,3119.11,15.0
1211,146.8,21.2,20.2,2270.0,22.0,57.0,2331.3,27.0
1212,146.8,17.0,16.0,2590.0,17.6,15.0,2600.0,23.0
1213,146.8,20.6,19.8,2908.0,22.6,76.0,2909.24,26.0
1214,146.8,19.0,18.0,2657.0,22.0,18.0,2800.0,32.0
1215,157.0,7.0,6.0,2135.0,8.0,88.0,2508.18,50.0
1216,146.8,17.2,16.2,2326.0,17.7,48.0,2412.84,25.0
1217,146.8,25.0,24.0,2202.0,28.0,25.0,2280.0,34.0
1218,159.6,23.0,22.0,2424.0,23.1,58.0,3190.0,92.0
1219,146.8,16.0,15.0,2945.0,16.0,32.0,3051.5,19.0
1220,159.6,17.7,16.7,2512.0,18.5,32.0,2535.0,26.0
1221,149.0,9.0,8.0,2348.0,9.5,48.0,2349.14,12.0
1222,146.8,8.0,7.0,3005.0,9.0,41.0,3030.0,14.0
1223,146.8,19.5,18.5,2206.0,18.9,88.0,2456.0,21.0
1224,157.2,6.0,5.0,2315.0,6.0,86.0,2365.0,7.0
1225,146.8,16.6,15.6,2277.0,17.4,84.0,2304.0,20.0
1226,146.8,24.5,23.5,2680.0,25.0,56.0,2786.38,28.0
1227,146.8,16.5,15.5,2460.0,16.7,44.0,2710.63,38.0
1228,159.6,22.3,21.3,2618.0,23.0,56.0,2622.0,27.0
1229,159.6,20.5,19.6,2580.0,,70.0,2810.0,20.0
1230,146.8,21.0,20.0,2195.0,20.3,89.0,2456.0,22.0
1231,,8.9,7.9,1886.0,9.4,32.0,2765.0,84.0
1232,159.6,25.0,24.0,2880.0,25.2,85.0,2968.0,28.0
1233,146.8,23.5,22.5,2124.0,24.2,62.0,2287.0,40.0
1234,159.6,18.2,17.2,2526.0,18.6,32.0,2535.0,26.0
1235,159.6,25.0,24.0,2590.0,25.4,56.0,2622.0,27.0
1236,146.8,8.0,7.0,1725.0,7.5,43.0,2590.0,77.0
1237,159.6,16.6,15.6,2631.0,5.0,31.3,2682.0,5.0
1238,146.8,23.5,22.5,2800.0,24.0,53.0,2805.0,32.0
1239,146.8,18.0,17.0,2216.0,18.5,82.0,2235.0,22.0
